2026-03-17 12:25:23.7600 | Handlers.Handlers.GetMaterialByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialByCategoryAndStore | Error Occured in Input string was not in a correct format.
2026-03-17 12:25:25.1679 | Handlers.Handlers.GetMaterialByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialByCategoryAndStore | Error Occured in Input string was not in a correct format.
2026-03-17 12:25:28.0434 | Handlers.Handlers.GetMaterialByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialByCategoryAndStore | Error Occured in Input string was not in a correct format.
2026-03-17 12:25:28.4111 | Handlers.Handlers.GetMaterialByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialByCategoryAndStore | Error Occured in Input string was not in a correct format.
2026-03-17 15:30:45.4307 | Handlers.Handlers.GetMaterialSearchValueByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialSearchValueByCategoryAndStore | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:37:20.5904 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:37:24.7544 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:09.8332 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:14.2642 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:18.6140 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:22.9425 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:27.1662 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:31.3172 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:35.7999 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:40.3388 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:44.7298 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:48.9702 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:53.0942 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:54:57.3570 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:02.7493 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:08.3299 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:12.9602 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:17.2335 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:21.2510 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:25.2968 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 16:55:29.5067 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:11:38.5166 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:34:56.4238 | Handlers.Handlers.GetMaterialSearchValueByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialSearchValueByCategoryAndStore | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:34:57.8577 | Handlers.Handlers.GetMaterialSearchValueByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialSearchValueByCategoryAndStore | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:35:38.2119 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:35:42.5123 | Handlers.Handlers.GetMaterialCodeNameByCategory | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategory | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:35:49.6422 | Handlers.Handlers.GetMaterialSearchValueByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialSearchValueByCategoryAndStore | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:36:22.8337 | Handlers.Handlers.GetMaterialSearchValueByCategoryAndStore | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialSearchValueByCategoryAndStore | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 17:40:25.3084 | Handlers.Handlers.SaveVendorBank | Handlers.ProcessRequest => Handlers.VendorRegistration => Handlers.SaveVendorBank | Error Occured in Object reference not set to an instance of an object.
